rank,ranking-institution-title,location,Overall scores,Research Quality Score,Industry Score,International Outlook,Research Environment Score,Teaching Score
209,Case Western Reserve University,United States,44.3–46.1,78.8,66.5,71.8,22.4,27.5
210,Charles University,Czech Republic,44.3–46.1,55,68.5,76.4,35.1,37.2
211,Chongqing University,China,44.3–46.1,83.1,70.4,62.9,22.3,27.6
212,Dalian University of Technology,China,44.3–46.1,92.3,74.2,47.7,21,29.8
213,Deakin University,Australia,44.3–46.1,81.9,78.2,90.6,24.5,21.2
214,Dublin City University,Ireland,44.3–46.1,93.6,55.8,73.2,22.9,18.2
215,Edith Cowan University,Australia,44.3–46.1,90.4,48.2,96,19.4,18.7
216,University of Geneva,Switzerland,44.3–46.1,64.9,74.6,94.2,27.2,27.9
217,Goethe University Frankfurt,Germany,44.3–46.1,51.9,89,69.3,35.9,33.9
218,University of Hamburg,Germany,44.3–46.1,65.5,87.4,52.3,38.3,29.4
219,Hanyang University,South Korea,44.3–46.1,68.8,88.6,67.8,25.9,32.9
220,University of Huddersfield,United Kingdom,44.3–46.1,85.3,33.3,95,20.2,26.8
221,University of Iowa,United States,44.3–46.1,75.9,68,58.1,32.1,24.7
222,University of Johannesburg,South Africa,44.3–46.1,77.6,65.4,72.1,31.3,22.2
223,Johannes Kepler University of Linz,Austria,44.3–46.1,79.1,84.7,70.2,24.3,25.4
224,King Fahd University of Petroleum and Minerals,Saudi Arabia,44.3–46.1,74.4,96.6,73.8,23,26.1
225,Koç University,Turkey,44.3–46.1,62.5,100,63.1,34.5,26.7
226,Korea University,South Korea,44.3–46.1,55.6,99.5,76.5,29.6,37.7
227,University of Lausanne,Switzerland,44.3–46.1,56.4,50,87.3,36.2,33.1
228,University of Liverpool,United Kingdom,44.3–46.1,68,51.1,96.4,25.2,31
229,McMaster University,Canada,44.3–46.1,72.1,87.2,90.9,28.5,23.3
230,Montpellier University,France,44.3–46.1,91.4,40.6,68.3,25.6,23.6
231,Nankai University,China,44.3–46.1,76.1,59.5,62.2,20.7,35.8
232,Newcastle University,United Kingdom,44.3–46.1,81.3,40.9,91.1,22.6,24.2
233,University of Nicosia,Cyprus,44.3–46.1,94.4,61,82.5,21.7,18.9
234,University of Notre Dame,United States,44.3–46.1,81.6,69.3,60.1,24.9,31.2
235,NOVA University of Lisbon,Portugal,44.3–46.1,77.6,64.8,73.5,28.1,25.2
236,University of Otago,New Zealand,44.3–46.1,70.7,46.7,77.1,27.8,30.1
237,University of Padua,Italy,44.3–46.1,78.3,76.7,52.5,29.4,29.4
238,University of Pittsburgh-Pittsburgh campus,United States,44.3–46.1,71.6,68.6,55.8,34.9,27.3
239,Pusan National University,South Korea,44.3–46.1,85.4,81.7,61,22.3,23.8
240,Queen Mary University of London,United Kingdom,44.3–46.1,78.9,55.8,96.2,24.6,24.9
241,Rice University,United States,44.3–46.1,60.8,61.2,70.2,28,40.9
242,University of Sharjah,United Arab Emirates,44.3–46.1,97.5,44.1,96.8,20.7,14.7
243,SOAS University of London,United Kingdom,44.3–46.1,70.2,17.5,88.8,28.4,35
244,University of Strathclyde,United Kingdom,44.3–46.1,69.9,55.1,87.7,26.9,29.9
245,Syracuse University,United States,44.3–46.1,69.1,99.8,52.4,32.6,28.7
246,Virginia Polytechnic Institute and State University,United States,44.3–46.1,73.8,67.8,59,31.5,30.6
247,Xiamen University,China,44.3–46.1,81.1,53.3,45.5,24.5,33.7
248,Xi’an Jiaotong University,China,44.3–46.1,79.2,91.4,64.3,29.2,24.1
249,York University,Canada,44.3–46.1,72.2,36.4,85.3,31.9,27.7
250,Zayed University,United Arab Emirates,44.3–46.1,89,17.5,73.9,26.4,23.8
251,Amirkabir University of Technology,Iran,41.7–44.2,79.6,89.6,47.1,27.2,17.9
252,University of Arizona,United States,41.7–44.2,74.4,67.6,40.2,34.5,26.4
253,"Birkbeck, University of London",United Kingdom,41.7–44.2,74.3,67.9,93.3,19.7,21.8
254,Bournemouth University,United Kingdom,41.7–44.2,81.6,48.5,88.4,21.1,18.4
255,Brunel University London,United Kingdom,41.7–44.2,74.7,64.1,97.5,22.2,22.4
256,Ca’ Foscari University of Venice,Italy,41.7–44.2,65,88.9,50.4,26.4,29.5
257,University of Calgary,Canada,41.7–44.2,74.1,77.8,85.2,25.4,18.5
258,University of Cape Town,South Africa,41.7–44.2,60.4,47.2,67.9,33.7,30.5
259,University of Central Florida,United States,41.7–44.2,74.5,67.9,43.2,31.3,28.5
260,University of Colorado Boulder,United States,41.7–44.2,77.4,67.5,48.9,26.9,24.4
261,University of Côte d’Azur,France,41.7–44.2,58,19.5,70.4,29.4,37.3
262,University of East Anglia,United Kingdom,41.7–44.2,80,31.6,94.9,22.9,21.9
263,Eastern Mediterranean University,Northern Cyprus,41.7–44.2,84.1,60.4,71.5,14.7,24.6
264,Emory University,United States,41.7–44.2,59.5,67.5,79,21.7,33.8
265,University of Granada,Spain,41.7–44.2,87.4,51.1,48.1,21,24.2
266,Heriot-Watt University,United Kingdom,41.7–44.2,68.4,68.5,93.5,23.6,21
267,University of Hohenheim,Germany,41.7–44.2,79.3,75.4,48.8,28.7,24.8
268,Hong Kong Baptist University,Hong Kong,41.7–44.2,75.9,68.9,95.6,15.9,21.1
269,University of Hull,United Kingdom,41.7–44.2,72.7,59.4,93.6,18.6,26.2
270,Iowa State University,United States,41.7–44.2,67.6,82.4,44,31.2,28.4
271,University of Kent,United Kingdom,41.7–44.2,80.5,18,91.4,19.4,21.2
272,University of Konstanz,Germany,41.7–44.2,54.4,90.2,60.4,36.2,33.2
273,La Trobe University,Australia,41.7–44.2,77.4,59.2,90.6,24.7,18.8
274,Lebanese American University,Lebanon,41.7–44.2,93,34.1,79.2,14.9,17.4
275,Leuphana University of Lüneburg,Germany,41.7–44.2,89.5,35.4,48.7,23.4,23.8
276,Université Libre de Bruxelles,Belgium,41.7–44.2,63.9,70.3,76.4,32.7,23.9
277,Lincoln University,New Zealand,41.7–44.2,82.1,24.3,90.3,19.1,24.1
278,Macau University of Science and Technology,Macao,41.7–44.2,71.7,75.4,90.8,19.3,26.6
279,University of Miami,United States,41.7–44.2,78.8,67.5,70.6,17.8,25.8
280,Monterrey Institute of Technology,Mexico,41.7–44.2,72.2,52.9,67.1,19.4,31.2
281,Norwegian University of Science and Technology,Norway,41.7–44.2,74.7,72.1,53.4,27,25.6
