rank,ranking-institution-title,location,Overall scores,Research Quality Score,Industry Score,International Outlook,Research Environment Score,Teaching Score
355,University of Messina,Italy,37.4–41.6,87.3,70.6,50.4,16.1,20.4
356,Middle East Technical University,Turkey,37.4–41.6,58.1,65.9,59.2,28.9,31.7
357,Missouri University of Science and Technology,United States,37.4–41.6,76.5,65.8,75.6,18.3,15.9
358,Nanjing University of Aeronautics and Astronautics,China,37.4–41.6,80.4,81.7,42.4,20,21.7
359,Nantes Université,France,37.4–41.6,76.9,18,55.1,21.4,23.4
360,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,37.4–41.6,61.4,91.5,62.8,24.4,24.2
361,National Tsing Hua University,Taiwan,37.4–41.6,50.6,91.5,54.3,33,26
362,"University of Nevada, Las Vegas",United States,37.4–41.6,64.2,67.4,43.1,23.4,26.7
363,Northumbria University,United Kingdom,37.4–41.6,73.4,29.5,89.8,16.4,19.7
364,Northwestern Polytechnical University,China,37.4–41.6,69.8,81.4,54.8,22.7,19.7
365,Otto von Guericke University of Magdeburg,Germany,37.4–41.6,87.7,37,64.2,15,15.5
366,University of Oulu,Finland,37.4–41.6,87.9,39,44.4,27.1,16.7
367,Oxford Brookes University,United Kingdom,37.4–41.6,59.1,17.5,84.5,25.7,32.4
368,Pontificia Universidad Católica de Chile,Chile,37.4–41.6,62.4,49,61.3,26.9,19.3
369,University of Pretoria,South Africa,37.4–41.6,63.4,35.9,56.8,26.9,27
370,Prince Sultan University (PSU),Saudi Arabia,37.4–41.6,76.4,47.1,79,16.3,15
371,Qatar University,Qatar,37.4–41.6,77,25.7,83.2,25.2,18.7
372,Quaid-i-Azam University,Pakistan,37.4–41.6,86.9,17.5,50.8,15.2,18.3
373,Queen’s University,Canada,37.4–41.6,63.8,71.6,79.5,16.9,24.6
374,Queen’s University Belfast,United Kingdom,37.4–41.6,74,19.2,95.7,21.8,15.8
375,"Royal Holloway, University of London",United Kingdom,37.4–41.6,75.6,48.6,93.4,18.7,18.5
376,Rutgers University – New Brunswick,United States,37.4–41.6,64.8,67.4,65,26,24.4
377,Sharif University of Technology,Iran,37.4–41.6,67.8,81.9,38.6,28.9,20.8
378,Shenzhen University,China,37.4–41.6,83,67.1,52.9,17,18.2
379,South China University of Technology,China,37.4–41.6,73.1,96.5,52.1,20.9,21.4
380,University of Southern Queensland,Australia,37.4–41.6,73.7,38,70.3,16.5,24.3
381,Southern University of Science and Technology (SUSTech),China,37.4–41.6,68.1,45.1,67.8,25.6,28
382,University of South Florida,United States,37.4–41.6,72.7,73.5,70.5,21.7,20.9
383,South Ural State University,,37.4–41.6,91.3,19.3,60.2,11.4,17.8
384,University of Stavanger,Norway,37.4–41.6,87.2,33.8,78,16.6,15.5
385,University of Stirling,United Kingdom,37.4–41.6,70.3,53,87.5,19.1,21.9
386,Sunway University,Malaysia,37.4–41.6,83.6,18.3,71,11.7,23.5
387,Università della Svizzera italiana,Switzerland,37.4–41.6,62.3,39.3,96,19.2,19.2
388,Tallinn University of Technology,Estonia,37.4–41.6,78.2,52.3,62.1,20.6,15.5
389,University of Tartu,Estonia,37.4–41.6,77.7,61.6,57,23.4,23.1
390,University of Tasmania,Australia,37.4–41.6,67,36.9,86.1,20.3,21.4
391,Tel Aviv University,Israel,37.4–41.6,59.3,67.4,59.1,34.8,24.1
392,The University of Tennessee-Knoxville,United States,37.4–41.6,77.9,48.1,46.8,25.5,17.4
393,University of Texas at Dallas,United States,37.4–41.6,61.7,68.8,65.4,31.8,18.1
394,University of Trento,Italy,37.4–41.6,69.9,51.4,47.7,29.8,20.2
395,TU Dortmund University,Germany,37.4–41.6,55.5,97.7,40.8,32.5,26.8
396,University of Utah,United States,37.4–41.6,79.3,64.3,41,18.5,21.3
397,Victoria University,Australia,37.4–41.6,51.7,69.1,76.3,26.7,24.7
398,University of Victoria,Canada,37.4–41.6,73.5,53.7,93.3,18.6,14.4
